Month,Machine learning: (Worldwide),artificial intelligence: (Worldwide),IOT: (Worldwide),Cloud computing: (Worldwide),cyber security: (Worldwide)
2004-01,13,47,3,0,5
2004-02,13,53,3,0,5
2004-03,14,48,3,0,4
2004-04,14,45,3,0,4
2004-05,14,41,3,0,3
2004-06,13,38,3,0,3
2004-07,12,36,3,0,3
2004-08,11,36,2,0,3
2004-09,13,40,3,0,3
2004-10,11,39,3,0,6
2004-11,11,41,3,0,3
2004-12,10,37,3,0,3
2005-01,11,33,3,0,3
2005-02,11,36,4,0,4
2005-03,11,34,3,0,3
2005-04,10,32,3,0,3
2005-05,10,29,3,0,2
2005-06,9,26,4,0,3
2005-07,8,24,3,0,3
2005-08,7,23,3,0,2
2005-09,8,27,3,0,3
2005-10,10,28,3,0,2
2005-11,9,28,3,0,2
2005-12,9,25,3,0,2
2006-01,8,23,3,0,2
2006-02,8,23,4,0,2
2006-03,9,25,3,0,3
2006-04,8,22,3,0,2
2006-05,8,19,3,0,2
2006-06,7,18,3,0,2
2006-07,6,17,3,0,2
2006-08,6,17,3,0,2
2006-09,8,26,3,0,3
2006-10,8,23,3,0,2
2006-11,8,20,3,0,2
2006-12,7,17,3,0,1
2007-01,7,17,3,0,2
2007-02,7,17,3,0,2
2007-03,7,22,3,<1,2
2007-04,7,16,3,0,2
2007-05,7,16,3,<1,2
2007-06,6,14,3,<1,2
2007-07,6,15,3,<1,2
2007-08,6,15,3,<1,2
2007-09,7,16,4,<1,2
2007-10,7,17,3,2,3
2007-11,7,16,3,1,2
2007-12,6,14,3,2,2
2008-01,6,15,3,2,2
2008-02,6,15,3,4,2
2008-03,7,16,3,4,2
2008-04,6,14,3,5,2
2008-05,6,13,3,6,2
2008-06,5,12,3,7,2
2008-07,5,12,3,12,2
2008-08,5,12,3,15,2
2008-09,6,14,3,14,3
2008-10,7,13,3,19,3
2008-11,6,14,3,19,3
2008-12,6,13,3,16,3
2009-01,5,12,3,17,3
2009-02,6,15,3,21,3
2009-03,6,14,4,28,3
2009-04,6,13,3,30,4
2009-05,6,12,4,26,4
2009-06,6,12,3,27,4
2009-07,5,14,3,30,4
2009-08,5,14,3,27,4
2009-09,6,14,3,34,4
2009-10,6,14,3,38,28
2009-11,6,14,4,42,26
2009-12,6,14,3,34,6
2010-01,6,15,3,36,4
2010-02,6,14,3,41,5
2010-03,6,13,4,47,5
2010-04,7,14,4,43,5
2010-05,6,12,4,42,4
2010-06,6,11,4,40,4
2010-07,5,12,3,39,5
2010-08,5,11,4,42,5
2010-09,6,12,4,46,5
2010-10,6,13,4,53,5
2010-11,6,13,4,54,5
2010-12,6,11,4,54,4
2011-01,6,11,4,52,5
2011-02,7,13,4,55,5
2011-03,6,15,4,58,5
2011-04,6,12,4,55,5
2011-05,6,11,4,53,5
2011-06,6,11,4,58,6
2011-07,5,10,4,48,5
2011-08,6,12,4,49,5
2011-09,7,16,4,55,5
2011-10,7,17,4,54,6
2011-11,8,18,4,54,5
2011-12,7,15,4,49,5
2012-01,7,14,4,48,5
2012-02,7,14,4,46,6
2012-03,7,15,4,49,5
2012-04,7,13,4,40,5
2012-05,7,12,4,39,5
2012-06,7,12,4,36,5
2012-07,7,12,4,36,5
